Population,DeathRate
"December 31, 2022",9.978
"December 31, 2021",9.247
"December 31, 2020",9.212
"December 31, 2019",8.642
"December 31, 2018",9.048
"December 31, 2017",9.939
"December 31, 2016",9.126
"December 31, 2015",8.857
"December 31, 2014",8.985
"December 31, 2013",9.322
"December 31, 2012",9.479
"December 31, 2011",9.196
"December 31, 2010",9.481
"December 31, 2009",10.98
"December 31, 2008",11.48
"December 31, 2007",10.87
"December 31, 2006",10.2
"December 31, 2005",9.737
"December 31, 2004",10.05
"December 31, 2003",10.44
"December 31, 2002",11.93
"December 31, 2001",11.47
"December 31, 2000",11.19
"December 31, 1999",10.52
"December 31, 1998",10.81
"December 31, 1997",11.18
"December 31, 1996",10.65